provider,provider_id,provider_slug,plan_title,capacity,period,price,price_usd_promo,price_usd_base,promo_zero_any,base_zero_any,coverage_count,scope_pref,plan_id
eSIM.sm,65aa0df15b71971c8cb28801,esimsm,50GB 60 days - France,50000 MB,60 Days,49.1,,49.1,False,False,0,0,68aecf355494f01dbc9895b0
GLOBAL YO,63c52208de7c07fba95ec104,yoverse,Day Plan - Global Explorer (Stand w'Ukraine) - 2GB/Day - 7 Day,1000 MB/day,7 Days,44.69,44.69,49.19,False,False,0,2,68c84cc89bf54bb050616a4a
Firsty,66719ce7b8d1560ec8b11691,firsty,Firsty First Class (France) - 21 Days,5000 MB/day,21 Days,49.248654,,49.248654,False,False,0,0,68b1d5022f01bb37575e8d4b
Yoho Mobile,63760bdc4e2b1c13f365b600,yoho-mobile,Global D 2GB/Daily 15Day,2000 MB/day,15 Days,49.32,,49.32,False,False,1,2,68c891f6fd7fabd3fefa4d84
Billion Connect,5eb95317a5faaf0b7dfa9b24,billionconnect,Global eSIM [45 countries] 30 Days 3GB/Day,3000 MB/day,30 Days,44.6,44.6,49.56,False,False,1,2,68c867741c43a850e7c31e43
abesteSIM,6875cc9ee40f4fd4c110ce88,abestesim,Europe &amp; Asia &amp; US (41 Countries) - 15 Days/Unlimited,0 MB,15 Days,49.68912698465462,,49.68912698465462,False,False,1,1,68bfdb568525b2c8ebf5c023
EscapeSIM,656019a51f0926ec7c9be0d2,escapesim,Europe And USA 50GB,50000 MB,60 Days,49.6927357862035,,49.6927357862035,False,False,0,1,68bef58ac338aabe6a443f4e
Yoho Mobile,63760bdc4e2b1c13f365b600,yoho-mobile,Global F 10GB 3Day,10000 MB,3 Days,49.81,,49.81,False,False,1,2,68c891f8fd7fabd3fefaa636
Yoho Mobile,63760bdc4e2b1c13f365b600,yoho-mobile,Europe G Unlimited/Daily 20Day,0 MB,20 Days,49.81,,49.81,False,False,1,1,68c89200fd7fabd3fefb4c38
TravelKon,64aa14075d62bfe82117aa19,travelkon,"Europe, UK &amp; Turkey 5G eSIM 35 Countries",50000 MB,45 Days,42.385762729067075,42.385762729067075,49.865603210667146,False,False,0,1,68c2b2ae6694085db5777af6
ChillaxSIM,682d271c08820152a644c1ce,chillaxsim,France  Total 50GB for 30 days,50000 MB,30 Days,46.9,46.9,49.9,False,False,0,0,68c68100e01d377b0ee07696
LinkeSIM,6760c58e8c8ea74873b8bca7,linkesim,Europe 40 Countries 50 GB for 90 days,50000 MB,90 Days,49.9,,49.9,False,False,0,1,68c893dffd7fabd3fefdce2c
SimOptions,621474082e011dca5e3ebd1f,simoptions,Holiday Europe eSIM,30000 MB,31 Days,44.91,44.91,49.9,False,False,0,1,68c7bf85fc430c8498619b6d
ChillaxSIM,682d271c08820152a644c1ce,chillaxsim,France  unlimited data for 20 days,1000 MB/day,20 Days,46.9,46.9,49.9,False,False,0,0,68c68100e01d377b0ee076a8
Maya Mobile,6373892077821f1076f2e83a,maya-mobile,Europe 100GB - 10 Days,100000 MB,10 Days,44.99,44.99,49.99,False,False,0,1,68c891c9fd7fabd3fef9725f
Maya Mobile,6373892077821f1076f2e83a,maya-mobile,Europe 100GB - 15 Days,100000 MB,15 Days,44.99,44.99,49.99,False,False,0,1,68c891c9fd7fabd3fef97283
Maya Mobile,6373892077821f1076f2e83a,maya-mobile,France 100GB - 10 Days,100000 MB,10 Days,44.99,44.99,49.99,False,False,0,0,68c891cafd7fabd3fef97bf6
Maya Mobile,6373892077821f1076f2e83a,maya-mobile,France 100GB - 15 Days,100000 MB,15 Days,44.99,44.99,49.99,False,False,0,0,68c891cafd7fabd3fef97bf8
easySim,65bef1401c656f6234208976,easysim,France 50GB 30day bundle,50000 MB,30 Days,49.99,,49.99,False,False,0,0,68b0d77a3df378710c92d3be
ETravelSim,640e71222097580dd4a88d0b,etravelsim,Travel eSIM for Europe (ZF) 50 GB - 30 Days / Data Only,50000 MB,30 Days,49.99,,49.99,False,False,1,1,68c806e8a052e0b19f9291ed
GLOBAL YO,63c52208de7c07fba95ec104,yoverse,Global Explorer - 365 Days - 20 GB (117 countries),20000 MB,365 Days,45.49,45.49,49.99,False,False,0,2,68c84cc89bf54bb050617b58
Maya Mobile,6373892077821f1076f2e83a,maya-mobile,Global 20GB - 10 Days,20000 MB,10 Days,44.99,44.99,49.99,False,False,0,2,68c891cbfd7fabd3fef986e5
Maya Mobile,6373892077821f1076f2e83a,maya-mobile,Global 20GB - 15 Days,20000 MB,15 Days,44.99,44.99,49.99,False,False,0,2,68c891cbfd7fabd3fef9875c
Saily,660ea2de2f17b102e83a96f8,saily,Europe UNLIMITED 15 days,5000 MB/day,15 Days,47.49,47.49,49.99,False,False,0,1,68a8a109bb78507dd9ff9f40
Maya Mobile,6373892077821f1076f2e83a,maya-mobile,Global Unlimited MAX - 10 Days,5000 MB/day,10 Days,44.99,44.99,49.99,False,False,0,2,68c891cbfd7fabd3fef99196
Jetpac,656ef630e60950c9a706e6ff,jetpac,Unlimited - 21 days,3000 MB/day,21 Days,46.99,46.99,49.99,False,False,4,0,68be8502d6e3468a27178dc4
Maya Mobile,6373892077821f1076f2e83a,maya-mobile,Europe+ Unlimited STANDARD - 30 Days,3000 MB/day,30 Days,44.99,44.99,49.99,False,False,0,1,68c891cafd7fabd3fef97a87
Maya Mobile,6373892077821f1076f2e83a,maya-mobile,France Unlimited STANDARD - 30 Days,3000 MB/day,30 Days,44.99,44.99,49.99,False,False,0,0,68c891cafd7fabd3fef97c66
Esimatic,6579951a2ab42e58d53befcd,esimatic,Global,1000 MB/day,3 Days,44.99,44.99,49.99,False,False,0,2,68c1c66f053739364a564e07
GLOBAL YO,63c52208de7c07fba95ec104,yoverse,Day Plan - Europe Explorer - 2GB/Day - 30 Day,1000 MB/day,30 Days,45.49,45.49,49.99,False,False,0,1,68c84ccb9bf54bb050619645
KnowRoaming,5d26d237082986423eab74a0,knowroaming,France 50 GB 60 Days,50000 MB,60 Days,45.0,45.0,50.0,False,False,0,0,68a89ed2bb78507dd9f6f423
iRoamly,66ac21966d047ed956f30520,iroamly,Europe - 39 Countries-30GB-30 Days-Total,30000 MB,30 Days,50.0,,50.0,False,False,0,1,68baada698ac519469ac3efd
Roamify,663a1a4b5fddf2d5b402906b,roamify,Mediterranean eSIM 30 GB - 15 Days,30000 MB,15 Days,47.5,47.5,50.0,False,False,1,0,68c89314fd7fabd3fefc9995
mobineX,663a2caf5fddf2d5b402fd46,mobinex,20 GB - 30 days,20000 MB,30 Days,45.0,45.0,50.0,False,False,0,0,68c77a122468ddd077919272
Nomad,602194fd4b7cb92caf6ffad3,nomad,Regional Global-EX  - 365 Day - 20 GB,20000 MB,365 Days,47.0,47.0,50.0,False,False,0,2,68c7e8be909a70033453139b
Instabridge,643fbeb179777aa7ebe1e0f6,instabridge,10 GB GLOBAL eSIM Mobile Data Plan,10000 MB,30 Days,40.0,40.0,50.0,False,False,0,2,68a8a031bb78507dd9fc4c2e
Jetpac,656ef630e60950c9a706e6ff,jetpac,Global 10GB,10000 MB,180 Days,47.0,47.0,50.0,False,False,4,2,68be8502d6e3468a27177ec3
RedteaGO,5d16f93191d4f93192b3349c,redtea,Global (130+ areas),5000 MB,365 Days,47.5,47.5,50.0,False,False,0,2,68bab972ed9709269b1f9847
Airalo,5d663d552a89717945a0d26d,airalo,Discover+ - 5 GB,5000 MB,60 Days,42.5,42.5,50.0,False,False,0,0,68c75c05b9cb75f905822663
Airhub,6111c0893bead6451dd9ce51,airhub,Europe Unlimited Data 30Days,0 MB,30 Days,46.5,46.5,50.0,False,False,1,1,68c6a54b89404b8cb6056087
Roamify,663a1a4b5fddf2d5b402906b,roamify,Balkans eSIM Unlimited Data - 10 Days,0 MB,10 Days,47.5,47.5,50.0,False,False,1,0,68c8930cfd7fabd3fefc0bfd
Roamify,663a1a4b5fddf2d5b402906b,roamify,Europe eSIM Unlimited Data - 25 Days,0 MB,25 Days,47.5,47.5,50.0,False,False,1,1,68c8930efd7fabd3fefc297b
Roamify,663a1a4b5fddf2d5b402906b,roamify,Europe &amp; United States eSIM Unlimited Data - 25 Days,0 MB,25 Days,47.5,47.5,50.0,False,False,1,1,68c8930ffd7fabd3fefc4432
abesteSIM,6875cc9ee40f4fd4c110ce88,abestesim,Europe &amp; Asia &amp; US (41 Countries) - 15 Days/Total 50GB,50000 MB,15 Days,50.13347593949073,,50.13347593949073,False,False,1,1,68bfdb568525b2c8ebf5b4f3
eSIMania,67fcf6bbbbc312c4799a2e78,esimania,CYP 20GB for 30 days,20000 MB,30 Days,47.67,47.67,50.18,False,False,0,0,68c00328a242d9b3034b087e
