plan_id,provider_id,provider_name,plan_name,data_mb,validity_days,data_cap_per,usd_price,usd_promo_price,effective_price,is_promo,price_cad,new_user_only,promo_enabled,can_top_up,subscription,pay_as_you_go,ekyc,speed_limit,reduced_speed,possible_throttling,has_5g,tethering,has_ads,num_countries,data_display,validity_display
691cf2a279f044bab494bfe2,665ed6fa8fd63873885d7aeb,Always Mobile,North America 5GB 30Days,5000,30,,11.25,,11.25,False,15.633978749999999,False,False,True,False,False,False,,,False,False,True,False,3,4.9GB,30 days
691cf2a279f044bab494c061,665ed6fa8fd63873885d7aeb,Always Mobile,USA &amp; Canada 5GB 30Days,5000,30,,11.25,,11.25,False,15.633978749999999,False,False,True,False,False,False,,,False,False,True,False,2,4.9GB,30 days
6961bb0d247ad2e0c3b8607a,694c76858c7248209aa4a7df,Yatelo,NMR 2GB 15 Days,2000,15,,11.25,9.0,9.0,True,12.507183,False,True,True,False,False,False,,,False,False,True,False,3,2.0GB,15 days
6955433a4622035a7ddc6ba0,691a70e2a3dd350531e33c74,eSimfly,North America 3GB 15Days,3000,15,,11.31,10.7445,10.7445,True,14.9314919715,False,True,True,False,False,False,,,False,False,True,False,3,2.9GB,15 days
69254aeeace2426a75766f22,5eb95317a5faaf0b7dfa9b24,Billion Connect,USA &amp; Canada &amp; Mexico eSIM 5 Days 500MB/Day,500,5,day,11.43,10.286999999999999,10.286999999999999,True,14.295710168999998,False,True,,False,False,,,128.0,False,False,True,False,3,500MB,5 days
68da51a49ecaacd99c74acbc,66e18e73597f9c6d753b7571,Roamless,North America - 30 Days,2000,30,,11.45,9.16,9.16,True,12.729532919999999,False,True,True,False,False,,,,False,False,True,False,5,2.0GB,30 days
691451b8039270c648c0aa05,60acd76e464f901c1fcceb7c,eSIMplus,United States/Canada | eSIM QR Code | 15 / 3GB,3000,15,,11.486066189179251,10.844386513806109,10.844386513806109,True,15.070302961211668,False,True,,False,False,,,,False,False,,False,2,2.9GB,15 days
68a8a10abb78507dd9ffa8a1,660ea2de2f17b102e83a96f8,Saily,North America 2GB 15 days,2000,15,,11.49,10.9155,10.9155,True,15.169128448499999,False,True,,False,False,,,,False,False,,False,2,2.0GB,15 days
68d50c0800caad49ca950ec3,66ac21966d047ed956f30520,iRoamly,USA &amp; Canada &amp; Mexico-eSIM-5GB-5 Days-Total,5000,5,,11.5,,11.5,False,15.9814005,False,True,False,False,False,False,,128.0,False,False,True,False,3,4.9GB,5 days
68d50c0800caad49ca950e79,66ac21966d047ed956f30520,iRoamly,USA &amp; Canada-eSIM-3GB-10 Days-Total,3000,10,,11.5,,11.5,False,15.9814005,False,True,False,False,False,False,,,False,False,True,False,2,2.9GB,10 days
