4574,4574,4574,4564,4564,174,1158,476,1557,4574,4574,783,4574,18,4574,0,3435,3182,3347,1988,1370,80,1566,4574,4574,4574,4574,4574,4574,4574,0,4574,4574,4574,2728,3947,2490,619,405,152,563,152,177,152,152,457,152,152,152,363,164,280,104,261,208,257,197,145,110,203,87,117,108,200,133,185,127,92,131,137,101,52,52,112,57,108,142,52,78,52,52,52,103,52,52,52,52,52,112,78,52,52,52,52,52,103,87,52,52,52,108,73,117,52,135,78,52,52,98,52,103,52,87,52,52,52,52,87,52,139,73,52,52,52,40,35,25,55,12,51,64,64,64,30,21,21
68da253a184401d0d814c3ba,37 items,37,Europe (37 countries),Europe (37 countries),,,,,300,1,,FALSE,,FALSE,,,,,,,,,FALSE,TRUE,5d16f93191d4f93192b3349c,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,0.7,0.6649999999999999,0.7,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68da253a184401d0d814c45a,39 items,39,Europe Plus,Europe Plus,,,,,300,1,,FALSE,,FALSE,,,,,,,,,FALSE,TRUE,5d16f93191d4f93192b3349c,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,0.7,0.6649999999999999,0.7,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68a8a05cbb78507dd9fcd80e,34 items,34,Best Europe 35 - 1GB/1Days,Best Europe 35 - 1GB/1Days,,Unthrottled,This eSIM data package will expire in 180 days from the date of your purchase. Please install and activate it within this period.,"
The validity period start when the eSIM first connect to a network. Each day counts as 24 hours from activation.",1000,1,,FALSE,,FALSE,,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,651a85325fee853583ffe8e5,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,0.8,0.7200000000000001,0.8,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68a8a084bb78507dd9fd5478,34 items,34,Europe 35 - 1GB/1Days,Europe 35 - 1GB/1Days,,Unthrottled,This eSIM data package will expire in 180 days from the date of your purchase. Please install and activate it within this period.,"
The validity period start when the eSIM first connect to a network. Each day counts as 24 hours from activation.",1000,1,,FALSE,,FALSE,,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,6569737630f6dcfb30352bf3,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,0.85,0.765,0.85,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68dc6721adbaffe4b0eae015,33 items,33,Europe 33 Countries 1 Day / Daily 500MB,Europe 33 Countries 1 Day / Daily 500MB,,Unlimited 512kbps after high-speed data is used up.,,,500,1,,FALSE,,FALSE,,FALSE,FALSE,TRUE,{'country': 'PL'},day,,512,FALSE,TRUE,65fd5b85efc7ee1e3444055a,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,0.9,0,0.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69254af5ace2426a757676a2,45 items,45,Global eSIM [45 countries] 1 Day 500MB/Day,Global eSIM [45 countries] 1 Day 500MB/Day,,,,,500,1,,FALSE,,FALSE,,,,TRUE,{'country': 'PL'},,,128,FALSE,TRUE,5eb95317a5faaf0b7dfa9b24,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,0.92,0.8280000000000001,0.92,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68dc6720adbaffe4b0eadfe8,33 items,33,Europe 33 Countries 1 Day / Daily 1GB,Europe 33 Countries 1 Day / Daily 1GB,,Unlimited 512kbps after high-speed data is used up.,,,1000,1,,FALSE,,FALSE,,FALSE,FALSE,TRUE,{'country': 'PL'},day,,512,FALSE,TRUE,65fd5b85efc7ee1e3444055a,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,0.98,0,0.98,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68f5ad8a87f82b9b2996b0a7,34 items,34,Europe eSIM,Europe eSIM,,1GB,3 days,1GB | 3 Days | Up to 5G,1000,3,,FALSE,,FALSE,,FALSE,FALSE,TRUE,,,,,FALSE,TRUE,6893406fad0c5ce27be2e9bd,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,0.99,0.891,0.99,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68ea1489f8b7ea68fc7b3f3a,41 items,41,Europe 36 Countries 1 Day / Daily 500MB,Europe 36 Countries 1 Day / Daily 500MB,,Unlimited 128kbps after high-speed data is used up.,,,500,1,,FALSE,,FALSE,,FALSE,FALSE,TRUE,"{'country': 'NL'},{'country': 'SG'},{'country': 'US'}",day,,128,FALSE,TRUE,65fd5b85efc7ee1e3444055a,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,0.99,0,0.99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69313850fc4bdfc04c6b1141,34 items,34,300MB/1 Day Europe Region eSIM,300MB/1 Day Europe Region eSIM,,,,,300,1,,FALSE,,FALSE,,FALSE,FALSE,TRUE,,,,,FALSE,TRUE,6747c8e603e7509b3dc0bfc3,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,0.99,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68f0e6a10195a163f3ff8f06,64 items,64,Global Pass,Global Pass,,,1 days,,1000,1,,FALSE,,FALSE,,TRUE,,TRUE,,,,,FALSE,FALSE,68c90ae5674c19ea079110fd,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,1,0.8,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693066b4e9f167c30f3c60ed,26 items,26,eSIM Plan - Europe 26 Countries - 1 Day 502MB,eSIM Plan - Europe 26 Countries - 1 Day 502MB,,,,,502,1,,FALSE,,FALSE,,TRUE,FALSE,TRUE,,,,,FALSE,TRUE,68b5073e7deca5e79fd665bb,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,1,0.9,1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68dcc8f8d08bf4821b68ccee,44 items,44,Europe A 500MB/Daily 1Day,Europe A 500MB/Daily 1Day,,"500MB Per Day, Reduced to 128kbps After Exceeding 500MB",,"500MB Per Day, Reduced to 128kbps After Exceeding 500MB",500,1,,FALSE,,FALSE,,FALSE,FALSE,TRUE,{'country': 'PL'},,,128,FALSE,TRUE,63760bdc4e2b1c13f365b600,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68dcc8f8d08bf4821b68cd0d,32 items,32,Europe F 500MB/Daily 1Day,Europe F 500MB/Daily 1Day,,"500MB Per Day, Reduced to 128kbps After Exceeding 500MB",,"500MB Per Day, Reduced to 128kbps After Exceeding 500MB",500,1,,FALSE,,FALSE,,FALSE,FALSE,TRUE,{'country': 'FR'},,,128,FALSE,TRUE,63760bdc4e2b1c13f365b600,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68dcc8f9d08bf4821b68cd4d,31 items,31,Europe G 500MB/Daily 1Day,Europe G 500MB/Daily 1Day,,"500MB Per Day, Reduced to 128kbps After Exceeding 500MB",,"500MB Per Day, Reduced to 128kbps After Exceeding 500MB",500,1,,FALSE,,FALSE,,FALSE,FALSE,TRUE,{'country': 'HK'},,,128,FALSE,TRUE,63760bdc4e2b1c13f365b600,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692eea05daa093a5e19febf8,42 items,42,Europe 500 MB for 3 days,Europe 500 MB for 3 days,â¦$1â©,500 MB,3 days,"Data-only regional eSIM, Activation policy: The validity period starts when the eSIM is connected to any supported network., Top-up option available: Yes, Hotspot/Tethering: Yes
Activation policy: The validity period starts when the eSIM is connected to any supported network.",500,3,,FALSE,,FALSE,,TRUE,,,,,,,FALSE,TRUE,67234c91e7fe43281f91e226,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68e78da456a8f8ab68ed980c,40 items,40,Europe 41 Countries 5G 1 Day / Total 200MB,Europe 41 Countries 5G 1 Day / Total 200MB,,Unlimited 128kbps after high-speed data is used up.,,,200,1,,FALSE,,FALSE,,FALSE,FALSE,TRUE,{'country': 'PL'},day,,128,FALSE,TRUE,65fd5b85efc7ee1e3444055a,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,1.01,0.010000000000000009,1.01,0.010000000000000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69254af6ace2426a7576774a,41 items,41,Europe eSIM [41 countries] 1 Day 500MB/Day,Europe eSIM [41 countries] 1 Day 500MB/Day,,,,,500,1,,FALSE,,FALSE,,,,TRUE,{'country': 'PL'},,,128,FALSE,TRUE,5eb95317a5faaf0b7dfa9b24,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,1.04,0.936,1.04,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68e78fa556a8f8ab68edc1d8,40 items,40,Europe (41 Countries) - 1 Day/Total 200MB,Europe (41 Countries) - 1 Day/Total 200MB,,,,,200,1,,FALSE,,FALSE,,FALSE,FALSE,TRUE,{'country': 'PL'},day,,128,FALSE,TRUE,6875cc9ee40f4fd4c110ce88,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,1.0511696907179615,,,,,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68ef689eec150ed1688f4502,42 items,42,Europe 42 Countries 1 Day / Daily 500MB,Europe 42 Countries 1 Day / Daily 500MB,,Unlimited 512kbps after high-speed data is used up.,,,500,1,,FALSE,,FALSE,,FALSE,FALSE,TRUE,{'country': 'PL'},day,,512,FALSE,TRUE,65fd5b85efc7ee1e3444055a,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,1.07,0.07,1.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68f5ad8a87f82b9b2996b0a8,34 items,34,Europe eSIM,Europe eSIM,,1GB,7 days,1GB | 7 Days | Up to 5G,1000,7,,FALSE,,FALSE,,FALSE,FALSE,TRUE,,,,,FALSE,TRUE,6893406fad0c5ce27be2e9bd,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,1.09,0.9810000000000001,1.09,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69254af5ace2426a757676c0,45 items,45,Global eSIM [45 countries] 1 Day 1GB/Day,Global eSIM [45 countries] 1 Day 1GB/Day,,,,,1000,1,,FALSE,,FALSE,,,,TRUE,{'country': 'PL'},,,128,FALSE,TRUE,5eb95317a5faaf0b7dfa9b24,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,1.11,0.9990000000000001,1.11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68db770835850fa8f214c8b5,33 items,33,Europe eSIM [33 Countries] 2 Days 500MB/Day,Europe eSIM [33 Countries] 2 Days 500MB/Day,,,,,500,2,,FALSE,,FALSE,,,,TRUE,{'country': 'AT'},day,,128,FALSE,TRUE,5eb95317a5faaf0b7dfa9b24,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,1.17,1.053,1.17,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68f5bb77c54242bb0ba1ff8e,34 items,34,Europe eSIM,Europe eSIM,,1GB,14 days,1GB | 14 Days | Up to 5G,1000,14,,FALSE,,FALSE,,FALSE,FALSE,TRUE,,,,,FALSE,TRUE,6893406fad0c5ce27be2e9bd,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,1.19,1.071,1.19,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68ef689eec150ed1688f44e7,42 items,42,Europe 42 Countries 1 Day / Daily 1GB,Europe 42 Countries 1 Day / Daily 1GB,,Unlimited 512kbps after high-speed data is used up.,,,1000,1,,FALSE,,FALSE,,FALSE,FALSE,TRUE,{'country': 'PL'},day,,512,FALSE,TRUE,65fd5b85efc7ee1e3444055a,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,1.23,0.22999999999999998,1.23,0.22999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68ea1489f8b7ea68fc7b3f06,41 items,41,Europe 36 Countries 1 Day / Daily 1GB,Europe 36 Countries 1 Day / Daily 1GB,,Unlimited 128kbps after high-speed data is used up.,,,1000,1,,FALSE,,FALSE,,FALSE,FALSE,TRUE,"{'country': 'NL'},{'country': 'SG'},{'country': 'US'}",day,,128,FALSE,TRUE,65fd5b85efc7ee1e3444055a,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,1.24,0.24,1.24,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69254af5ace2426a757676df,45 items,45,Global eSIM [45 countries] 1 Day 2GB/Day,Global eSIM [45 countries] 1 Day 2GB/Day,,,,,2000,1,,FALSE,,FALSE,,,,TRUE,{'country': 'PL'},,,128,FALSE,TRUE,5eb95317a5faaf0b7dfa9b24,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,1.25,1.125,1.25,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68dcc8f8d08bf4821b68ccf6,44 items,44,Europe A 1GB/Daily 1Day,Europe A 1GB/Daily 1Day,,"1GB Per Day, Reduced to 128kbps After Exceeding 1GB",,"1GB Per Day, Reduced to 128kbps After Exceeding 1GB",1000,1,,FALSE,,FALSE,,FALSE,FALSE,TRUE,{'country': 'PL'},,,128,FALSE,TRUE,63760bdc4e2b1c13f365b600,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,1.25,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68dcc8f9d08bf4821b68cd15,32 items,32,Europe F 1GB/Daily 1Day,Europe F 1GB/Daily 1Day,,"1GB Per Day, Reduced to 128kbps After Exceeding 1GB",,"1GB Per Day, Reduced to 128kbps After Exceeding 1GB",1000,1,,FALSE,,FALSE,,FALSE,FALSE,TRUE,{'country': 'FR'},,,128,FALSE,TRUE,63760bdc4e2b1c13f365b600,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,1.25,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68dcc8f9d08bf4821b68cd55,31 items,31,Europe G 1GB/Daily 1Day,Europe G 1GB/Daily 1Day,,"1GB Per Day, Reduced to 128kbps After Exceeding 1GB",,"1GB Per Day, Reduced to 128kbps After Exceeding 1GB",1000,1,,FALSE,,FALSE,,FALSE,FALSE,TRUE,{'country': 'HK'},,,128,FALSE,TRUE,63760bdc4e2b1c13f365b600,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,1.25,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68e78da456a8f8ab68ed9826,40 items,40,Europe 41 Countries 5G 1 Day / Daily 500MB,Europe 41 Countries 5G 1 Day / Daily 500MB,,Unlimited 128kbps after high-speed data is used up.,,,500,1,,FALSE,,FALSE,,FALSE,FALSE,TRUE,{'country': 'PL'},day,,128,FALSE,TRUE,65fd5b85efc7ee1e3444055a,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,1.26,0.26,1.26,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
