_id,coverages,numberCoveredCountry,enName,name,price_info,capacity_info,validity_info,additionalInfo,capacity,period,prices_EUR,subscription,subscription_period,phone_number,telephony,canTopUp,eKYC,tethering,internetBreakouts,dataCapPer,speedLimit,reducedSpeed,possibleThrottling,promoEnabled,provider,hasAds,payAsYouGo,newUserOnly,isConsecutive,networkTypes,isLowLatency,has5G,usdPrice,usdPromoPrice,prices_USD,promoPrices_USD,promoPrices_EUR,prices_SGD,prices_AMD,prices_GBP,prices_GEL,prices_RUB,prices_UZS,promoPrices_AMD,promoPrices_GBP,promoPrices_GEL,promoPrices_RUB,promoPrices_UZS,prices_AUD,prices_AED,prices_CAD,promoPrices_AED,promoPrices_AUD,promoPrices_CAD,prices_JPY,promoPrices_JPY,prices_HKD,promoPrices_HKD,prices_CHF,prices_CZK,prices_DKK,prices_ILS,prices_KRW,prices_MYR,prices_NZD,prices_PLN,prices_SEK,prices_TWD,promoPrices_NZD,promoPrices_TWD,prices_ALL,prices_BGN,prices_CNY,prices_HUF,prices_IDR,prices_INR,prices_ISK,prices_LBP,prices_MAD,prices_MUR,prices_PEN,prices_PHP,prices_PKR,prices_PYG,prices_QAR,prices_RON,prices_RSD,prices_SAR,prices_THB,prices_UAH,prices_UYU,prices_VND,promoPrices_ALL,promoPrices_BGN,promoPrices_CHF,promoPrices_CNY,promoPrices_CZK,promoPrices_DKK,promoPrices_HUF,promoPrices_IDR,promoPrices_ILS,promoPrices_INR,promoPrices_ISK,promoPrices_KRW,promoPrices_LBP,promoPrices_MAD,promoPrices_MUR,promoPrices_MYR,promoPrices_PEN,promoPrices_PHP,promoPrices_PKR,promoPrices_PLN,promoPrices_PYG,promoPrices_QAR,promoPrices_RON,promoPrices_RSD,promoPrices_SAR,promoPrices_SEK,promoPrices_SGD,promoPrices_THB,promoPrices_UAH,promoPrices_UYU,promoPrices_VND,prices_MXN,promoPrices_MXN,prices_NOK,prices_ZAR,prices_BRL,telephony_dialingCode,telephony_voice,telephony_sms,telephony__id,promoPrices_ZAR,prices_OMR,promoPrices_OMR
68e7f00d9e2a08be38c3636a,29 items,29,"Europe eSIM 50 GB, Unlimited Call &amp; SMS - 30 Days","Europe eSIM 50 GB, Unlimited Call &amp; SMS - 30 Days",,,,The validity period start when the eSIM first connect to a network,50000,30,,False,,False,,False,False,True,{'country': 'FR'},,,,False,True,663a1a4b5fddf2d5b402906b,False,False,False,False,,False,False,40.0,38.0,40.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+33,"{'inbound': True, 'outbound': True}","{'inbound': True, 'outbound': True}",6934755a763c98e86959d75a,,,
68e7f00d9e2a08be38c3637f,32 items,32,"Europe Sprint eSIM 50 GB, Unlimited Call &amp; SMS - 30 Days","Europe Sprint eSIM 50 GB, Unlimited Call &amp; SMS - 30 Days",,,,The validity period start when the eSIM first connect to a network,50000,30,,False,,False,,False,False,True,{'country': 'FR'},,,,False,True,663a1a4b5fddf2d5b402906b,False,False,False,False,,False,False,40.0,38.0,40.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+33,"{'inbound': True, 'outbound': True}","{'inbound': True, 'outbound': True}",6934755b763c98e86959d760,,,
68d50bf400caad49ca94ecea,39 items,39,Europe - 39 Countries-30GB-3 Days-Total,Europe - 39 Countries-30GB-3 Days-Total,,,,"30GB high-speed per day. Covered countries: Albania, Ireland, Estonia, Austria, Bulgaria, Belgium, Iceland, Poland, Denmark, Germany, France, Finland, Kazakhstan, Netherlands, Czech Republic, Croatia, Latvia, Lithuania, Liechtenstein, Luxembourg, Romania, Malta, United States, Moldova, Norway, Portugal, Sweden, Switzerland, Cyprus, Slovenia, Slovakia, Turkey, Ukraine, Spain, Greece, Hungary, Israel, Italy, and the United Kingdom",30000,3,,False,,False,,False,False,True,,,,,False,True,66ac21966d047ed956f30520,False,False,False,False,,False,False,40.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68ca8e795c57dc6cfeedccbf,37 items,37,Europe 20GB 30 Days,Europe 20GB 30 Days,,,,,20000,30,,False,,False,,True,False,True,,,,,False,True,6809c2333db6ecdf6272bc41,False,False,False,False,,False,False,40.0,32.0,40.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68dbe86f811e14b1d9ba3679,33 items,33,Europe 20GB,Europe 20GB,,,,"
Activates upon arrival in supported destinations",20000,30,38.0,False,,False,,False,False,True,"{'country': 'FR'},{'country': 'NL'},{'country': 'SG'},{'country': 'US'}",,,,False,True,656ef630e60950c9a706e6ff,False,False,False,False,,False,False,40.0,36.0,40.0,36.0,34.0,54.5,,33.0,,,,,29.5,,,,63.0,,55.5,,56.5,50.0,6200.0,5550.0,,,,,,,55000.0,,68.0,155.0,,,61.0,,,,286.0,,647000.0,3590.0,,,,,,,,,,,,155.0,,,,,,,,257.74459710468415,,,,580595.9975725221,,3240.0,,49500.0,,,,,,,,140.0,,,,,139.5,,49.0,,,,,775.0,700.0,,,,,,,,,,
68dcca7bd08bf4821b6955f4,74 items,74,Europe Extended 20GB Data with calls 30Days,Europe Extended 20GB Data with calls 30Days,,,,"Instant activation – The validity period begins from the day the eSIM is purchased. (ensure eSIM is turned on and roaming is enabled).High-speed data: Speed -  20GB usable across Europe and Unlimited usable in the UK (3G/4G/5G) with hotspot support.Calls and SMS: Unlimited calls and SMS with in EuropePhone number -  Yes (UK +44)Coverage:Albania, Anguilla, Antigua and Barbuda, Aruba, Australia, Austria, Azores, Barbados, Belgium, Bermuda, Bosnia and Herzegovina, British Virgin Islands, Bulgaria, Canada, Canary Islands, Cayman Islands, Croatia, Cyprus, Czech Republic, Denmark, Dominica, Estonia, Faroe Islands, Finland, France (incl.Corsica), French Guiana, Germany, Ghana, Gibraltar, Greece, Grenada, Guadeloupe, Guernsey, Hungary, Iceland, Ireland, Isle of Man, Italy (incl. Vatican City), Jamaica, Jersey, Kenya, Kosovo, Latvia, Lesotho, Liechtenstein, Lithuania, Luxembourg, Madeira, Malta, Martinique, Mayotte, Mexico, Monaco, Montserrat, Mozambique, Netherlands, New Zealand, Norway, Poland, Portugal, Reunion, Romania, Saint Martin, San Marino, Slovakia, Slovenia, South Africa, Spain (incl. Balearic Islands), St Kitts and Nevis, St Lucia, St Vincent and Grenadines, Sweden, Switzerland, Trinidad and Tobago, Turkey, Turks and Caicos Islands, United States",20000,30,,False,,False,,False,False,False,{'country': 'GB'},,,,False,True,675932492a67cac0f31af1af,False,False,False,False,,False,False,40.0,38.8,40.0,38.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6934233b4d0f6020d3e8e594,34 items,34,eSIM Plan - Europe 34 Countries - 60 Days 20 GB,eSIM Plan - Europe 34 Countries - 60 Days 20 GB,,,,,20000,60,,False,,False,,True,False,True,,,,,False,True,68b5073e7deca5e79fd665bb,False,False,False,False,,False,False,40.0,36.0,40.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68f84db36e408fb6c7127caf,82 items,82,Regional Global-EX  - 180 Day - 10 GB,Regional Global-EX  - 180 Day - 10 GB,,,,,10000,180,34.34,False,,False,,True,False,True,,,,,False,True,602194fd4b7cb92caf6ffad3,False,False,False,False,,False,False,40.0,37.0,40.0,37.0,31.768519264247935,51.82,,29.99,,,,,27.74248983622239,,,,60.28,,55.42,,55.736648692016324,51.23387365286553,6208.0,5742.650481766916,,,32.17,,,,,,,,,,,,,,,,,3600.28,,,,,,2360.14,,,,,,,,,,,,,29.770589897680782,,,,,,,3329.7677404655924,,,,,,,,2183.2606435901985,,,,,,,,,47.93860954893657,,,,,,,,677.58,,,,,,626.4609584422999,,
692da5f708d10639c0700194,140 items,140,Global 180 days 10GB,Global 180 days 10GB,,,,,10000,180,35.0,False,,False,,,,,,,,,False,True,66769b11aae616d28af63a88,False,False,False,False,,False,False,40.0,34.0,40.0,34.0,29.75,52.0,,31.0,,,,,26.35,,,,62.0,147.0,56.0,124.95,52.7,47.6,6222.0,5288.7,,,33.0,,,132.0,58784.0,,70.0,,,1258.0,59.5,1069.3,,,,,666648.0,,,,,,,2345.0,,,,,,,1282.0,,,,,,28.05,,,,,566650.8,112.2,,,49966.4,,,,,,1993.25,,,,,,,,,44.2,1089.7,,,,,,,,,,,,,,0.0,0.0
692da5f708d10639c070000c,140 items,140,Global Voice 30 Days 6GB,Global Voice 30 Days 6GB,,,,,6000,30,35.0,False,,False,,,,,,,,,False,True,66769b11aae616d28af63a88,False,False,False,False,,False,False,40.0,34.0,40.0,34.0,29.75,52.0,,31.0,,,,,26.35,,,,62.0,147.0,56.0,124.95,52.7,47.6,6222.0,5288.7,,,33.0,,,132.0,58784.0,,70.0,,,1258.0,59.5,1069.3,,,,,666648.0,,,,,,,2345.0,,,,,,,1282.0,,,,,,28.05,,,,,566650.8,112.2,,,49966.4,,,,,,1993.25,,,,,,,,,44.2,1089.7,,,,,,,,,,,,,,0.0,0.0
