provider,plan_title,price,data,validity,details_link,data_mb,validity_days,total_trip_cost
Earth Esim,"500MB/1 Day USA, Canada & Mexico",2.5,500MB,1 Day,https://esimdb.com/usa/earth-esim,500.0,1.0,15.0
Yoho Mobile,United States 1GB 1Day,2.57,1GB,1 Day,https://esimdb.com/usa/yoho-mobile,1024.0,1.0,15.419999999999998
Nesa,United States 500MB/Day,2.65,500MB,1 Day,https://esimdb.com/usa/nesa,500.0,1.0,15.899999999999999
Textr eSIM,Global 0.1GB,2.89,100MB,365 Days,https://esimdb.com/usa/textr,100.0,365.0,17.34
Esimatic,United States,2.89,1GB,1 Day,https://esimdb.com/usa/esimatic,1024.0,1.0,17.34
ByteSIM,USA 500MB/day for 1 day,2.9,500MB,1 Day,https://esimdb.com/usa/bytesim,500.0,1.0,17.4
RedteaGO,Global (130+ areas),2.9,1GB,1 Day,https://esimdb.com/usa/redtea,1024.0,1.0,17.4
Yoho Mobile,Europe B 2GB/Daily 1Day,2.9,2GB,1 Day,https://esimdb.com/usa/yoho-mobile,2048.0,1.0,17.4
GIGAGO,United States eSIM,2.9,2GB/day,1 Day,https://esimdb.com/usa/gigago,2048.0,1.0,17.4
Ubigi,USA,2.9,500MB,1 Day,https://esimdb.com/usa/ubigi,500.0,1.0,17.4
Yoho Mobile,United States 3GB/Daily 1Day,2.9,3GB,1 Day,https://esimdb.com/usa/yoho-mobile,3072.0,1.0,17.4
nextSIM,"eSIM United States, Unlimited Standard, 1 Day",2.94,1GB,1 Day,https://esimdb.com/usa/nextsim,1024.0,1.0,17.64
iRoamly,USA & Canada-eSIM-1GB-1 Day-Daily,3.0,1GB,1 Day,https://esimdb.com/usa/iroamly,1024.0,1.0,18.0
Keepgo,Lynx: USA + Canada,3.0,100MB,No expiry,https://esimdb.com/usa/keepgo,100.0,,18.0
Gaza Online,"eSIM, Unlimited, (1GB) 1 Day, United States",3.0,1GB,1 Day,https://esimdb.com/usa/gazaonline,1024.0,1.0,18.0
iRoamly,United States-1GB-1 Day-Daily,3.0,1GB,1 Day,https://esimdb.com/usa/iroamly,1024.0,1.0,18.0
Keepgo,"Andromeda: USA,Canada, Europe, Asia",3.0,100MB,No expiry,https://esimdb.com/usa/keepgo,100.0,,18.0
Keepgo,Cygnus: Canada + USA,3.0,100MB,No expiry,https://esimdb.com/usa/keepgo,100.0,,18.0
Keepgo,Solaris USA,3.0,100MB,No expiry,https://esimdb.com/usa/keepgo,100.0,,18.0
Keepgo,Tucana,3.0,100MB,No expiry,https://esimdb.com/usa/keepgo,100.0,,18.0
Keepgo,Orion: USA + EU,3.0,100MB,No expiry,https://esimdb.com/usa/keepgo,100.0,,18.0
Keepgo,Eridanus World,3.0,100MB,No expiry,https://esimdb.com/usa/keepgo,100.0,,18.0
Driffle eSIM,United-states Unlimited for 1 Day,3.0,1GB,1 Day,https://esimdb.com/usa/driffle,1024.0,1.0,18.0
Billion Connect,USA & Canada eSIM  1 Day 2GB/Day,3.13,2GB,1 Day,https://esimdb.com/usa/billionconnect,2048.0,1.0,18.78
Yoho Mobile,Europe A 3GB/Daily 1Day,3.14,3GB,1 Day,https://esimdb.com/usa/yoho-mobile,3072.0,1.0,18.84
Nesa,United States 1GB/Day,3.15,1GB,1 Day,https://esimdb.com/usa/nesa,1024.0,1.0,18.9
Nesa,North America (3) 500MB/Day,3.15,500MB,1 Day,https://esimdb.com/usa/nesa,500.0,1.0,18.9
eSimFlare,United States 500MB/Day,3.2,500MB,1 Day,https://esimdb.com/usa/esimflare,500.0,1.0,19.200000000000003
Simfinity,United States Pro,3.3,1GB,1 Day,https://esimdb.com/usa/simfinity,1024.0,1.0,19.799999999999997
