plan_id,provider_id,provider_name,plan_name,data_mb,validity_days,data_cap_per,usd_price,usd_promo_price,effective_price,is_promo,price_cad,new_user_only,promo_enabled,can_top_up,subscription,pay_as_you_go,ekyc,speed_limit,reduced_speed,possible_throttling,has_5g,tethering,has_ads,num_countries,covers_all_target,data_display,validity_display
68dcc8f4d08bf4821b68ca8c,63760bdc4e2b1c13f365b600,Yoho Mobile,Europe C 3GB/Daily 10Day,3000,10,day,30.88,,30.88,False,42.7848576,False,True,False,False,False,False,,128.0,False,False,True,False,35,True,2.9GB,10 days
6903bb59260a5cc96d1e8755,645a23dbc6a3d88eeb76b9ea,GIGAGO,Europe eSIM 33 Countries (no France),20000,15,,30.9,29.354999999999997,29.354999999999997,True,40.671939599999995,False,True,,False,False,,,,False,False,,False,33,True,19.5GB,15 days
6903bb59260a5cc96d1e879f,645a23dbc6a3d88eeb76b9ea,GIGAGO,Europe &amp; UK eSIM,20000,15,,30.9,29.354999999999997,29.354999999999997,True,40.671939599999995,False,True,,False,False,,,,False,False,,False,33,True,19.5GB,15 days
6903bb5a260a5cc96d1e88b0,645a23dbc6a3d88eeb76b9ea,GIGAGO,Global eSIM (77 countries),10000,3,,30.9,29.354999999999997,29.354999999999997,True,40.671939599999995,False,True,,False,False,,,,False,False,,False,76,True,9.8GB,3 days
68da253a184401d0d814c421,5d16f93191d4f93192b3349c,RedteaGO,Global (130+ areas),5000,30,,30.9,29.354999999999997,29.354999999999997,True,40.671939599999995,False,True,,False,False,,,,False,False,,False,138,True,4.9GB,30 days
6903bb58260a5cc96d1e86da,645a23dbc6a3d88eeb76b9ea,GIGAGO,Europe eSIM 33 Countries,2000,10,day,30.9,29.354999999999997,29.354999999999997,True,40.671939599999995,False,True,,False,False,,,,False,False,,False,33,True,2.0GB,10 days
6903bb58260a5cc96d1e86eb,645a23dbc6a3d88eeb76b9ea,GIGAGO,Europe eSIM 33 Countries,1000,20,day,30.9,29.354999999999997,29.354999999999997,True,40.671939599999995,False,True,,False,False,,,,False,False,,False,33,True,1000MB,20 days
690d3e6669f5febaeafa2dcb,68a99855f4b71e31b8711ba0,eSIM Prime,All Europe 20GB 1 month,20000,30,,30.99,29.4405,29.4405,True,40.79040156,False,True,True,False,False,False,,,False,False,True,False,33,True,19.5GB,30 days
68d50bf400caad49ca94ece5,66ac21966d047ed956f30520,iRoamly,Europe - 39 Countries-20GB-5 Days-Total,20000,5,,31.0,,31.0,False,42.95112,False,True,False,False,False,False,,,False,False,True,False,39,True,19.5GB,5 days
6903bb58260a5cc96d1e86e8,645a23dbc6a3d88eeb76b9ea,GIGAGO,Europe eSIM 33 Countries,20000,15,,31.0,29.45,29.45,True,40.803564,False,True,,False,False,,,,False,False,,False,33,True,19.5GB,15 days
68e1aeaf6a8c6a4921ffda38,68a70827c30bca8fddd0f322,Ezy eSIM,Global120+ 5GB 30Days,5000,30,,31.0,,31.0,False,42.95112,False,True,True,False,False,False,,,False,False,True,False,120,True,4.9GB,30 days
68dbe83e811e14b1d9ba223e,640e71222097580dd4a88d0b,ETravelSim,Travel eSIM for Europe Unlimited - 10 Days / 200 Mins Local Calls,4000,10,day,31.0,27.9,27.9,True,38.656008,False,True,,False,False,,,128.0,False,False,,False,35,True,3.9GB,10 days
6933798cc2faa6824b84bb28,67e16466ddb1a2946defdd74,Gaza Online,"eSIM, Unlimited, 10 Days, Europe",1000,10,day,31.0,,31.0,False,42.95112,False,False,True,False,False,,,512.0,False,False,False,False,35,True,1000MB,10 days
68dc6732adbaffe4b0eafca4,65fd5b85efc7ee1e3444055a,MicroEsim,Europe &amp; Asia &amp; US 41 Countries 10 Days / Total 20GB,20000,10,,31.04,30.04,30.04,True,41.621020800000004,False,True,False,False,False,False,,,False,False,True,False,41,True,19.5GB,10 days
69254af5ace2426a757676fc,5eb95317a5faaf0b7dfa9b24,Billion Connect,Global eSIM [45 countries] 30 Days 2GB/Day,2000,30,day,31.04,27.936,27.936,True,38.70588672,False,True,,False,False,,,128.0,False,False,True,False,45,True,2.0GB,30 days
68d3ac204d604a95b7b8aed3,669ecc2324128bc08c341abe,airdatalink,Discover Europe eSIM,50000,30,,31.0490998108115,29.496644820270927,29.496644820270927,True,40.86819133138178,False,True,False,False,False,False,,,False,False,True,False,42,True,48.8GB,30 days
68e5f60fb780bb21807182ce,669ecc2324128bc08c341abe,airdatalink,Europe 49 eSIM,30000,30,,31.0490998108115,29.496644820270927,29.496644820270927,True,40.86819133138178,False,True,False,False,False,False,,128.0,False,False,True,False,44,True,29.3GB,30 days
